Year,Animal_Type,breed,cnt,total,share,rank_in_year_type,prev_cnt,yoy_cnt_diff,yoy_cnt_pct_change,prev_share,yoy_share_point_diff,yoy_share_pct_change
2024,DOG,ALASKAN KLEE KAI,16,46201,0.0003,146,14,2,0.1429,0.0003,0,0
2025,DOG,ALASKAN KLEE KAI,23,37502,0.0006,122,16,7,0.4375,0.0003,0.0003,1
2023,DOG,ALASKAN MALAMUTE,72,44954,0.0016,80,null,null,null,null,null,null
2024,DOG,ALASKAN MALAMUTE,79,46201,0.0017,75,72,7,0.0972,0.0016,0.0001,0.0625
2025,DOG,ALASKAN MALAMUTE,57,37502,0.0015,82,79,-22,-0.2785,0.0017,-0.0002,-0.1176
2025,DOG,AMER STAFF MIX,1,37502,0,252,null,null,null,null,null,null
2024,DOG,AMERICAN BULL T,1,46201,0,245,null,null,null,null,null,null
2025,DOG,AMERICAN BULL T,1,37502,0,253,1,0,0,0,0,null
2023,DOG,AMERICAN BULLDOG,848,44954,0.0189,15,null,null,null,null,null,null
2024,DOG,AMERICAN BULLDOG,954,46201,0.0206,14,848,106,0.125,0.0189,0.0017,0.0899
2025,DOG,AMERICAN BULLDOG,760,37502,0.0203,14,954,-194,-0.2034,0.0206,-0.0003,-0.0146
2023,DOG,AMERICAN BULLY,31,44954,0.0007,116,null,null,null,null,null,null
2024,DOG,AMERICAN BULLY,165,46201,0.0036,52,31,134,4.3226,0.0007,0.0029,4.1429
2025,DOG,AMERICAN BULLY,209,37502,0.0056,39,165,44,0.2667,0.0036,0.002,0.5556
2025,DOG,AMERICAN BULLY MICRO,1,37502,0,254,null,null,null,null,null,null
2024,DOG,AMERICAN BULLY POCKET,1,46201,0,246,null,null,null,null,null,null
2025,DOG,AMERICAN BULLY POCKET,4,37502,0.0001,198,1,3,3,0,0.0001,null
2024,DOG,AMERICAN BULLY XL,1,46201,0,247,null,null,null,null,null,null
2023,DOG,AMERICAN COCKER SPANIEL,1,44954,0,241,null,null,null,null,null,null
2024,DOG,AMERICAN COCKER SPANIEL,1,46201,0,248,1,0,0,0,0,null
2025,DOG,AMERICAN COCKER SPANIEL,5,37502,0.0001,191,1,4,4,0,0.0001,null
2024,DOG,AMERICAN DIRUS,1,46201,0,249,null,null,null,null,null,null
2023,DOG,AMERICAN ESKIMO DOG,149,44954,0.0033,51,null,null,null,null,null,null
2024,DOG,AMERICAN ESKIMO DOG,143,46201,0.0031,56,149,-6,-0.0403,0.0033,-0.0002,-0.0606
2025,DOG,AMERICAN ESKIMO DOG,104,37502,0.0028,59,143,-39,-0.2727,0.0031,-0.0003,-0.0968
2023,DOG,AMERICAN FOXHOUND,25,44954,0.0006,128,null,null,null,null,null,null
2024,DOG,AMERICAN FOXHOUND,20,46201,0.0004,136,25,-5,-0.2,0.0006,-0.0002,-0.3333
2025,DOG,AMERICAN FOXHOUND,12,37502,0.0003,153,20,-8,-0.4,0.0004,-0.0001,-0.25
2023,DOG,AMERICAN PIT BULL TERRIER,54,44954,0.0012,94,null,null,null,null,null,null
2024,DOG,AMERICAN PIT BULL TERRIER,79,46201,0.0017,76,54,25,0.463,0.0012,0.0005,0.4167
