Year,Animal_Type,FSA,total,top1_breed,top1_cnt,top2_breed,top2_cnt,top3_breed,top3_cnt
2025,CAT,M4K,238,DOMESTIC SHORTHAIR,177,DOMESTIC MEDIUMHAIR,19,DOMESTIC LONGHAIR,14
2025,CAT,M4L,247,DOMESTIC SHORTHAIR,193,DOMESTIC LONGHAIR,16,DOMESTIC MEDIUMHAIR,12
2025,CAT,M4M,202,DOMESTIC SHORTHAIR,136,DOMESTIC MEDIUMHAIR,23,DOMESTIC LONGHAIR,18
2025,CAT,M4N,81,DOMESTIC SHORTHAIR,58,DOMESTIC LONGHAIR,6,AMERICAN SHORTHAIR,4
2025,CAT,M4P,212,DOMESTIC SHORTHAIR,152,DOMESTIC LONGHAIR,18,DOMESTIC MEDIUMHAIR,14
2025,CAT,M4R,82,DOMESTIC SHORTHAIR,69,DOMESTIC MEDIUMHAIR,4,AMERICAN SHORTHAIR,3
2025,CAT,M4S,234,DOMESTIC SHORTHAIR,172,DOMESTIC LONGHAIR,18,DOMESTIC MEDIUMHAIR,15
2025,CAT,M4T,69,DOMESTIC SHORTHAIR,55,DOMESTIC LONGHAIR,7,DOMESTIC MEDIUMHAIR,2
2025,CAT,M4V,112,DOMESTIC SHORTHAIR,85,DOMESTIC MEDIUMHAIR,10,DOMESTIC LONGHAIR,9
2025,CAT,M4W,94,DOMESTIC SHORTHAIR,70,DOMESTIC LONGHAIR,7,RAGDOLL,4
2025,CAT,M4X,139,DOMESTIC SHORTHAIR,99,DOMESTIC MEDIUMHAIR,14,DOMESTIC LONGHAIR,6
2025,CAT,M4Y,265,DOMESTIC SHORTHAIR,181,DOMESTIC LONGHAIR,22,DOMESTIC MEDIUMHAIR,14
2025,CAT,M5A,351,DOMESTIC SHORTHAIR,243,DOMESTIC LONGHAIR,30,DOMESTIC MEDIUMHAIR,26
2025,CAT,M5B,127,DOMESTIC SHORTHAIR,90,DOMESTIC LONGHAIR,11,DOMESTIC MEDIUMHAIR,4
2025,CAT,M5C,24,DOMESTIC SHORTHAIR,15,DOMESTIC LONGHAIR,3,DOMESTIC MEDIUMHAIR,3
2025,CAT,M5E,91,DOMESTIC SHORTHAIR,69,DOMESTIC MEDIUMHAIR,10,DOMESTIC LONGHAIR,5
2025,CAT,M5G,74,DOMESTIC SHORTHAIR,50,DOMESTIC LONGHAIR,7,BENGAL,5
2025,CAT,M5H,18,DOMESTIC SHORTHAIR,9,DOMESTIC LONGHAIR,3,BRITISH SHORTHAIR,2
2025,CAT,M5J,84,DOMESTIC SHORTHAIR,52,DOMESTIC LONGHAIR,11,SIAMESE,4
